,userID,username,cap_universal,cap_english,english_astroturf,english_fake_follower,english_financial,english_other,english_overall,english_self_declared,english_spammer,universal_astroturf,universal_fake_follower,universal_financial,universal_other,universal_overall,universal_self_declared,universal_spammer,status
0,1.26083E+18,@st0pchemveils,0.620704985,0.600488326,1.9,1,0.2,0.6,0.8,0,0,2.2,1.4,0.3,0.9,0.8,0,0.1,active
1,299259224,@carriedaway16,0.598241997,0.705337782,2.3,0.7,0,1.6,1,0,0,3,0.8,0.2,1.4,0.7,0,0,active
2,299259224,@carriedaway16,0.598241997,0.705337782,2.3,0.7,0,1.6,1,0,0,3,0.8,0.2,1.4,0.7,0,0,active
3,2735932776,@beckyttucker,0.805768421,0.81620431,0.8,2.4,1.7,4.1,4.1,0.3,0,0.6,3.4,1.6,2.6,3.4,0.4,0,active
4,8.38368E+17,@techace1,0.786564267,0.600488326,2.2,1.5,0.2,1.3,0.8,0,0.2,2.9,1.6,0.2,1.6,1.5,0,0,active
5,1.21667E+18,@knowmor90426810,0.522239872,0.447946558,1.2,0.4,0.2,0.6,0.4,0,0,1.2,0.5,0,0.6,0.6,0,0,active
6,18385910,@tellthetruth1,0.805374765,0.805478436,3.8,2.4,1,2.9,3.8,0.2,0.4,2.8,1.8,0.8,2.8,2.8,0.2,0.4,active
7,1.2318E+18,@tinalar27567622,0.802386356,0.779581525,0.9,2.5,1.2,1.6,1.6,0,0.5,0.6,3,0.5,1.8,2,0,0.4,active
8,7.42183E+17,@bj1012682,0.678486427,0.775988747,3.1,0.6,0.2,2.2,1.5,0,0.1,2.7,0.6,0.2,1.6,0.9,0,0,active
9,4432727301,@wenderella60,0.465839247,0.502712294,1.6,0.4,0.4,1.6,0.6,0.2,0,1.6,0.3,0.2,1.2,0.4,0,0,active
10,477289452,@newadamsfamily,0.346921018,0.362645641,1.1,0.2,0,0.6,0.3,0.1,0.1,1,0.4,0.3,0.8,0.2,0,0.2,active
11,2750324499,@horch42,0.805244408,0.798312364,3.6,3.4,1.8,3.3,3.6,0.4,0.6,2.7,3,1.1,2.7,3,0.7,0.2,active
12,3738735440,@welenaelena,0.708983079,0.475676966,1.2,0.2,0.9,0.8,0.5,0,0,1.4,0.2,0.4,1.3,1,0,0,active
13,24811659,@freedomnj,0.494490727,0.419722242,1.8,0.4,0.1,0.6,0.4,0,0,2.5,0.2,0,0.6,0.5,0,0,active
14,160007022,@solidaridad1000,0.805217634,0.797782173,3.5,2.3,0,3,3.5,0,0.1,3.2,1.4,0.1,2,3.2,0,0,active
15,2492877258,@bronwyn1140,0.896387238,0.874857504,4.6,0.8,0,1.4,4.6,0,0,4.7,0.4,0,1.2,4.7,0,0,active
16,298239002,@steffilynnallen,0.522239872,0.306188072,0.9,0,0.3,0.2,0.2,0,0,0.9,0.2,0.2,0.8,0.6,0,0,active
17,32713261,@luv2research,0.743720537,0.577886208,2.2,0.4,0.2,1.1,0.7,0.1,0,2.5,0.8,0.6,1.4,1.2,0,0.2,active
18,210633948,@apokalypsebeard,0.317394501,0.775988747,0.8,0.5,0,2.7,1.5,0,0,0.8,0,0,0.8,0.2,0,0,active
19,1.2158E+18,@tonyalarkey,0.767421432,0.792031769,2.1,1,1.3,2.6,1.8,0.4,0.2,1.7,1,1,2,1.3,0.1,0.2,active
20,1.22985E+18,@mertle_the,0.752712155,0.738478317,2.4,0.9,0.4,1.6,1.2,0,0.2,2.6,1,0.3,1.5,1.2,0.1,0.2,active
21,9.56298E+17,@cinderella5280,0.465839247,0.475676966,3.4,0.8,0,1,0.5,0.1,0,3.8,0.8,0,0.8,0.4,0.1,0.1,active
22,none,@richard12021634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,deleted
23,7.10276E+17,@ryan_merical,0.260367838,0.419722242,1.1,0.4,0,0.2,0.4,0,0,1.2,0.2,0,0.6,0.1,0,0,active
24,283323276,@foodiesaurus,0.260367838,0.419722242,1.8,0.2,0.1,0.6,0.4,0.1,0,1.8,0.4,0,0.6,0.1,0,0,active
25,7.97075E+17,@lian_yamouer,0.866290538,0.915837798,4.8,1,0,1.9,4.8,0,0,4.5,1.2,0,1.4,4.5,0,0.2,active
26,2246350868,@instinctnaturel,0.694516142,0.796994557,2.7,1.3,0.4,2.8,2.8,0.2,0.4,2.8,0.6,0,1.3,1,0,0,active
27,9.25802E+17,@annieoakley2015,0.807491077,0.81620431,4.1,1.1,0.2,2.2,4.1,0,0.1,3.6,1.2,0.2,1.4,3.6,0,0,active
28,16705739,@bofflespoffle,0.694516142,0.705337782,3.8,0.6,0,1.7,1,0,0,4,0.9,0,1.2,1,0,0.1,active
29,1.23912E+18,@bricchetti1,0.847463455,0.867011613,4.5,2.7,2,2.8,4.5,0.2,0.4,4.4,3.2,1.4,2.2,4.4,0.2,0.2,active
30,359690061,@pragobots,0.733499832,0.766876962,3,0.8,0.1,1.8,1.4,0.2,0,2.2,0.7,0,1.4,1.1,0.3,0.1,active
31,431940947,@mochimomsc,0.436508148,0.25204197,1.2,0.6,0.1,1.4,0.1,0.4,0,1.2,0.4,0,0.8,0.4,0.2,0,active
32,1955041746,@amicodimilano,0.436508148,0.75462187,0.6,0.8,0,2.9,1.3,0.1,0.4,0.6,0.2,0,1.2,0.4,0,0,active
33,1.23307E+18,@toughbutfair2,0.641587017,0.78740022,2.3,0.6,0.1,3.2,1.7,0,0,2,0.2,0,1.4,0.8,0,0,active
34,2767551883,@pb5479,0.708983079,0.676361906,4,0.6,0,1.2,1,0,0,3.1,0.4,0,0.8,1,0,0,active
35,2347073861,@pedroapadilla62,0.814841753,0.852404763,4.4,2,0.6,2.4,4.4,0.1,0.2,3.9,1,0.4,1.9,3.9,0,0.1,active
36,177729255,@sandracapri66,0.778449498,0.798312364,1,1.6,1.4,3.6,3.6,0,0.2,1.4,0.9,1,2.2,1.4,0,0,active
37,2350350648,@kdkelso5,0.782826526,0.738478317,1.6,1.5,0.9,2.2,1.2,0.2,0.4,1.2,1,0.3,1.6,1.4,0,0.2,active
38,175265758,@dugartean,0.801617084,0.79672472,3,1.9,1.8,2.7,3,0.1,0.4,2.9,1.8,1.4,2.3,1.9,0,0.8,active
39,421225172,@mimagarcias,0.641587017,0.789229469,2,1.3,1.6,2.9,1.8,0,0.4,2,0.8,0.4,1.4,0.8,0,0,active
40,1.30937E+18,@spol12345,0.494490727,0.766876962,0.8,0.7,1.2,2.2,1.4,0.1,0,0.8,0.6,0.2,1.4,0.5,0,0,active
41,1.25317E+18,@sunni1515,0.708983079,0.717691108,3.2,0.8,0.5,2.1,1.1,0,0,3.7,1.5,0.2,2.3,1,0,0.1,active
42,1.25706E+18,@babe_freedom,0.465839247,0.391215924,3,0.7,0,0.6,0.4,0,0,3.2,0.7,0,0.7,0.4,0,0,active
43,39924649,@clydemck,0.465839247,0.475676966,1.4,0.4,0.1,1,0.5,0,0,2.3,0.4,0.1,0.5,0.4,0,0,active
44,414819212,@marildasantos3,0.733499832,0.75462187,2.3,0.6,0.6,1.5,1.3,0,0,1.9,0.7,0.4,1.5,1.1,0,0.3,active
45,none,@uurrsol,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,deleted
46,87472496,@firelooker,0.813043153,0.798989041,3.6,1.4,0,1.6,3.6,0,0,3.8,1.2,0,1.3,3.8,0,0,active
