id,status
299259224,Active
299259224,Active
2735932776,Active
18385910,Active
4432727301,Active
477289452,Active
2750324499,Active
3738735440,Active
24811659,Active
160007022,Active
2492877258,Active
298239002,Active
32713261,Active
210633948,Active
283323276,Active
2246350868,Active
16705739,Active
359690061,Active
431940947,Active
1955041746,Active
2767551883,Active
2347073861,Active
177729255,Active
2350350648,Active
175265758,Active
421225172,Active
39924649,Active
414819212,Active
87472496,Active
341010120,Active
4896201527,Active
27076744,Active
3167930886,Active
73481166,Active
51969861,Active
25725899,Active
1280180934,Active
72577362,Active
1941253760,Active
304734661,Active
581613862,Active
273576496,Active
830391134,Active
830391134,Active
71036272,Active
31947076,Active
2482893582,Active
2799239428,Active
221858588,Active
4854462706,Active
545676751,Active
3244525306,Active
597674628,Active
123726781,Active
84129211,Active
1.26E+18,Deleted
8.38E+17,Deleted
1.22E+18,Deleted
1.23E+18,Deleted
7.42E+17,Deleted
1.22E+18,Deleted
1.23E+18,Deleted
9.56E+17,Deleted
1.17E+18,Deleted
7.10E+17,Deleted
7.97E+17,Deleted
9.26E+17,Deleted
1.24E+18,Deleted
1.23E+18,Deleted
1.31E+18,Deleted
1.25E+18,Deleted
1.26E+18,Deleted
27997662,Deleted
7.86E+17,Deleted
1.02E+18,Deleted
1.09E+18,Deleted
7.05E+17,Deleted
8.03E+17,Deleted
1.21E+18,Deleted
8.08E+17,Deleted
9.53E+17,Deleted
1.30E+18,Deleted
7.09E+17,Deleted
9.70E+17,Deleted
1.31E+18,Deleted
1.29E+18,Deleted
7.25E+17,Deleted
7.76E+17,Deleted
7.14E+17,Deleted
8.92E+17,Deleted
7.39E+17,Deleted
9.50E+17,Deleted
1.25E+18,Deleted
1.31E+18,Deleted
1.10E+18,Deleted
1.20E+18,Deleted
8.21E+17,Deleted
7.93E+17,Deleted
7.67E+17,Deleted
7.15E+17,Deleted
308845262,Active
3304499628,Active
38094326,Active
22531716,Active
2647542679,Active
4905495092,Active
3304499628,Active
3061949988,Active
49383967,Active
21222677,Active
312477483,Active
728588534,Active
3146781148,Active
48162456,Active
778284775,Active
150556403,Active
1169438480,Active
271074488,Active
4635046040,Active
3219575691,Active
959156953,Active
924057644,Active
3304702520,Active
1904121446,Active
154123374,Active
121940636,Active
292032147,Active
178117843,Active
1198527206,Active
2908253070,Active
2266168763,Active
44913361,Active
2193047004,Active
3575232857,Active
145525983,Active
31579226,Active
126848605,Active
21395305,Active
254897970,Active
3001792391,Active
944677376,Active
944677376,Active
2306165451,Active
202500154,Active
28662619,Active
222920048,Active
73537115,Active
73646732,Active
1079795330,Active
33981571,Active
268602712,Active
241643739,Active
2200288794,Active
936965018,Active
350637125,Active
2342687376,Active
1630953235,Active
492602213,Active
477857764,Active
2307065101,Active
432803346,Active
98279552,Active
100781060,Active
249471638,Active
793148808,Active
586675216,Active
1957795982,Active
3352920744,Active
8.64E+17,Deleted
1.25E+18,Deleted
1.01E+18,Deleted
1.29E+18,Deleted
7.58E+17,Deleted
8.90E+17,Deleted
7.55E+17,Deleted
1.18E+18,Deleted
1.23E+18,Deleted
1.23E+18,Deleted
1.27E+18,Deleted
7.56E+17,Deleted
1.07E+18,Deleted
1.03E+18,Deleted
8.23E+17,Deleted
1.29E+18,Deleted
8.12E+17,Deleted
7.82E+17,Deleted
1.07E+18,Deleted
1.27E+18,Deleted
8.79E+17,Deleted
8.84E+17,Deleted
9.64E+17,Deleted
8.60E+17,Deleted
8.45E+17,Deleted
1.17E+18,Deleted
7.61E+17,Deleted
1.25E+18,Deleted
1.24E+18,Deleted
7.67E+17,Deleted
1.24E+18,Deleted
1.11E+18,Deleted
329901783,Active
55262239,Active
532736900,Active
28485157,Active
462131008,Active
115593439,Active
206414832,Active
18451858,Active
1873439767,Active
985326067,Active
3853330813,Active
183392154,Active
2559149844,Active
92148125,Active
347946536,Active
15731447,Active
24891180,Active
292299486,Active
90657526,Active
3069163514,Active
32891358,Active
3835085476,Active
26224152,Active
49109153,Active
279753310,Active
623504070,Active
188855808,Active
435770054,Active
24278396,Active
1259502810,Active
97751004,Active
1608587778,Active
1398068880,Active
202322725,Active
2870185546,Active
103551080,Active
2827310373,Active
3246529033,Active
196345350,Active
799550838,Active
2492135641,Active
2277709777,Active
86832980,Active
119517769,Active
1074376488,Active
843969080,Active
101385894,Active
358441755,Active
26628782,Active
373351055,Active
256228399,Active
1462787401,Active
335684567,Active
188855808,Active
326947236,Active
145758860,Active
1136801953,Active
1450394162,Active
187351126,Active
351904408,Active
1.15E+18,Deleted
1.22E+18,Deleted
1.25E+18,Deleted
1.25E+18,Deleted
9.82E+17,Deleted
1.13E+18,Deleted
7.49E+17,Deleted
1.28E+18,Deleted
1.07E+18,Deleted
7.06E+17,Deleted
1.25E+18,Deleted
1.13E+18,Deleted
1.10E+18,Deleted
7.86E+17,Deleted
9.40E+17,Deleted
1.13E+18,Deleted
9.90E+17,Deleted
7.08E+17,Deleted
9.53E+17,Deleted
1.04E+18,Deleted
7.46E+17,Deleted
1.32E+18,Deleted
8.00E+17,Deleted
8.19E+17,Deleted
8.38E+17,Deleted
1.24E+18,Deleted
1.24E+18,Deleted
1.05E+18,Deleted
1.18E+18,Deleted
1.30E+18,Deleted
1.16E+18,Deleted
1.17E+18,Deleted
1.30E+18,Deleted
8.78E+17,Deleted
7.59E+17,Deleted
9.77E+17,Deleted
7.86E+17,Deleted
9.82E+17,Deleted
7.02E+17,Deleted
8.23E+17,Deleted
15511737,Active
55065988,Active
501358969,Active
633557441,Active
905530344,Active
18075443,Active
104576154,Active
389558632,Active
14222524,Active
14368074,Active
3294100642,Active
556323061,Active
142741966,Active
2318838086,Active
88532966,Active
151261251,Active
3243616719,Active
126133924,Active
2770153684,Active
2354012642,Active
50057187,Active
3249274655,Active
233450948,Active
141029248,Active
2346197381,Active
3411263883,Active
92376011,Active
167098877,Active
2444434944,Active
357550572,Active
1210098278,Active
2575626572,Active
1104091508,Active
132289495,Active
46953976,Active
4827986128,Active
345506820,Active
20278402,Active
635660359,Active
439862652,Active
481367290,Active
372769059,Active
63851303,Active
3246358172,Active
390944368,Active
3498214217,Active
29835084,Active
2512467079,Active
15488022,Active
114558569,Active
2738491026,Active
23154803,Active
387415598,Active
1276244750,Active
551110193,Active
327512092,Active
7.19E+17,Deleted
7.51E+17,Deleted
1.32E+18,Deleted
9.94E+17,Deleted
1.07E+18,Deleted
7.63E+17,Deleted
8.72E+17,Deleted
1.28E+18,Deleted
1.30E+18,Deleted
1.05E+18,Deleted
8.01E+17,Deleted
1.30E+18,Deleted
1.31E+18,Deleted
7.55E+17,Deleted
8.61E+17,Deleted
1.08E+18,Deleted
1.32E+18,Deleted
1.07E+18,Deleted
1.05E+18,Deleted
1.20E+18,Deleted
1.10E+18,Deleted
1.09E+18,Deleted
9.60E+17,Deleted
7.07E+17,Deleted
1.15E+18,Deleted
8.26E+17,Deleted
1.32E+18,Deleted
7.79E+17,Deleted
8.98E+17,Deleted
1.30E+18,Deleted
1.30E+18,Deleted
14498016,Deleted
8.58E+17,Deleted
7.08E+17,Deleted
1.17E+18,Deleted
1.21E+18,Deleted
1.08E+18,Deleted
1.30E+18,Deleted
1.07E+18,Deleted
1.04E+18,Deleted
9.69E+17,Deleted
1.23E+18,Deleted
1.22E+18,Deleted
1.12E+18,Deleted
317385247,Active
95190533,Active
69729899,Active
1608849546,Active
212466669,Active
282909308,Active
2648921946,Active
65101536,Active
1191768565,Active
1396237566,Active
3218093421,Active
112861755,Active
119306489,Active
1686116586,Active
3406306977,Active
2899177276,Active
522312146,Active
28585736,Active
58450936,Active
4284863181,Active
1961439367,Active
1630328696,Active
38027424,Active
26634828,Active
407566718,Active
26428262,Active
4157662521,Active
35538340,Active
942226854,Active
873925830,Active
394392730,Active
37514841,Active
800840736,Active
1025388373,Active
2440687914,Active
247319675,Active
2298337552,Active
1023299875,Active
65933640,Active
3089963783,Active
528983483,Active
2865454074,Active
398222303,Active
2976439426,Active
2240891768,Active
172828918,Active
2726362193,Active
1890265316,Active
2904113821,Active
532608579,Active
4182380774,Active
1654182008,Active
101404290,Active
238956343,Active
3284862317,Active
616171837,Active
109357134,Active
33399624,Active
8.21E+17,Deleted
1.26E+18,Deleted
1.27E+18,Deleted
1.20E+18,Deleted
9.71E+17,Deleted
1.20E+18,Deleted
1.30E+18,Deleted
9.44E+17,Deleted
1.31E+18,Deleted
8.21E+17,Deleted
8.01E+17,Deleted
8.24E+17,Deleted
1.28E+18,Deleted
8.41E+17,Deleted
7.13E+17,Deleted
1.16E+18,Deleted
1.18E+18,Deleted
8.24E+17,Deleted
8.86E+17,Deleted
1.11E+18,Deleted
7.92E+17,Deleted
1.15E+18,Deleted
1.08E+18,Deleted
8.81E+17,Deleted
1.31E+18,Deleted
1.08E+18,Deleted
1.16E+18,Deleted
1.02E+18,Deleted
1.24E+18,Deleted
1.24E+18,Deleted
7.56E+17,Deleted
7.27E+17,Deleted
1.07E+18,Deleted
1.18E+18,Deleted
1.26E+18,Deleted
1.28E+18,Deleted
1.17E+18,Deleted
8.03E+17,Deleted
7.73E+17,Deleted
8.19E+17,Deleted
50660101,Deleted
7.90E+17,Deleted
363778131,Active
3944400912,Active
84293723,Active
106524439,Active
17802081,Active
533819133,Active
422734725,Active
1618546020,Active
3207029619,Active
136074590,Active
4827974440,Active
47223240,Active
337591551,Active
381675632,Active
122016490,Active
255249131,Active
211345957,Active
2876762316,Active
3150814916,Active
261371390,Active
115356037,Active
1410527701,Active
479211236,Active
1679221764,Active
148221399,Active
346958657,Active
388829392,Active
1197186306,Active
956844103,Active
620698212,Active
3420196817,Active
265541775,Active
283605525,Active
337506541,Active
3004649999,Active
24732019,Active
114481377,Active
4883639087,Active
159133248,Active
2466808644,Active
245727384,Active
2896477971,Active
444002591,Active
1364394816,Active
1453134462,Active
4550554216,Active
40453904,Active
351185849,Active
912442070,Active
1555713079,Active
4716839673,Active
4156800567,Active
129308833,Active
2315838763,Active
25278584,Active
615730123,Active
211533486,Active
8.24E+17,Deleted
8.03E+17,Deleted
1.09E+18,Deleted
1.04E+18,Deleted
1.08E+18,Deleted
8.00E+17,Deleted
7.98E+17,Deleted
7.98E+17,Deleted
1.19E+18,Deleted
9.66E+17,Deleted
1.12E+18,Deleted
7.15E+17,Deleted
1.32E+18,Deleted
7.86E+17,Deleted
1.31E+18,Deleted
9.52E+17,Deleted
1.17E+18,Deleted
1.30E+18,Deleted
7.62E+17,Deleted
9.21E+17,Deleted
1.17E+18,Deleted
9.32E+17,Deleted
9.00E+17,Deleted
9.60E+17,Deleted
1.05E+18,Deleted
1.26E+18,Deleted
1.31E+18,Deleted
8.29E+17,Deleted
1.19E+18,Deleted
1.28E+18,Deleted
9.11E+17,Deleted
1.21E+18,Deleted
8.23E+17,Deleted
1.05E+18,Deleted
8.29E+17,Deleted
1.22E+18,Deleted
1.30E+18,Deleted
1.24E+18,Deleted
1.17E+18,Deleted
7.58E+17,Deleted
1.04E+18,Deleted
8.15E+17,Deleted
1.32E+18,Deleted
194390735,Active
3309642538,Active
907381388,Active
132068817,Active
310478446,Active
29128560,Active
138959398,Active
270627289,Active
75094316,Active
2464724131,Active
1028394630,Active
452098509,Active
2876762316,Active
65269061,Active
24763312,Active
23239866,Active
106831411,Active
119517769,Active
137469368,Active
2977965461,Active
747850135,Active
428416486,Active
253834899,Active
4858273690,Active
497563104,Active
3146669395,Active
205568265,Active
531972192,Active
87197918,Active
33570399,Active
452612181,Active
3246358172,Active
1350619688,Active
963324344,Active
432789912,Active
348452554,Active
1925614008,Active
797088278,Active
2274521738,Active
2963317005,Active
528018313,Active
1562076738,Active
74225171,Active
170310148,Active
2204166512,Active
254897970,Active
196146553,Active
119848243,Active
4840893253,Active
2189102688,Active
492695954,Active
3196810770,Active
35219055,Active
9.56E+17,Deleted
9.10E+17,Deleted
1.25E+18,Deleted
7.95E+17,Deleted
1.32E+18,Deleted
1.19E+18,Deleted
8.59E+17,Deleted
7.64E+17,Deleted
8.03E+17,Deleted
1.32E+18,Deleted
9.73E+17,Deleted
1.16E+18,Deleted
9.71E+17,Deleted
1.20E+18,Deleted
1.11E+18,Deleted
8.23E+17,Deleted
8.75E+17,Deleted
1.30E+18,Deleted
9.40E+17,Deleted
1.26E+18,Deleted
7.99E+17,Deleted
1.05E+18,Deleted
9.38E+17,Deleted
7.23E+17,Deleted
1.03E+18,Deleted
8.62E+17,Deleted
9.26E+17,Deleted
7.29E+17,Deleted
8.38E+17,Deleted
1.08E+18,Deleted
1.30E+18,Deleted
7.33E+17,Deleted
1.27E+18,Deleted
1.25E+18,Deleted
9.52E+17,Deleted
1.27E+18,Deleted
1.12E+18,Deleted
1.07E+18,Deleted
1.28E+18,Deleted
7.15E+17,Deleted
1.28E+18,Deleted
1.20E+18,Deleted
8.82E+17,Deleted
1.32E+18,Deleted
8.92E+17,Deleted
1.25E+18,Deleted
8.12E+17,Deleted
272101938,Active
120694779,Active
91839168,Active
36731730,Active
1288994042,Active
53506915,Active
2617270530,Active
4842175559,Active
3145956250,Active
3122123479,Active
4644428444,Active
950117126,Active
88074260,Active
78349050,Active
249026046,Active
1924067418,Active
93039464,Active
1151513545,Active
2997186250,Active
266984865,Active
2952129633,Active
74647116,Active
58765247,Active
519042373,Active
235717528,Active
88324218,Active
790830852,Active
2646273139,Active
4843281454,Active
136332449,Active
53222795,Active
14494756,Active
482375702,Active
1074762698,Active
3570802702,Active
1325420046,Active
136191609,Active
2726843513,Active
18647698,Active
330287683,Active
362240001,Active
2783367703,Active
339566435,Active
59495140,Active
18198499,Active
2724887101,Active
393475196,Active
290362699,Active
9.54E+17,Deleted
9.15E+17,Deleted
9.23E+17,Deleted
9.55E+17,Deleted
8.32E+17,Deleted
8.93E+17,Deleted
1.26E+18,Deleted
1.03E+18,Deleted
1.01E+18,Deleted
1.31E+18,Deleted
1.31E+18,Deleted
7.25E+17,Deleted
8.51E+17,Deleted
1.29E+18,Deleted
1.24E+18,Deleted
1.11E+18,Deleted
1.32E+18,Deleted
1.19E+18,Deleted
1.19E+18,Deleted
1.00E+18,Deleted
1.25E+18,Deleted
8.20E+17,Deleted
8.31E+17,Deleted
1.32E+18,Deleted
1.18E+18,Deleted
1.06E+18,Deleted
1.32E+18,Deleted
7.88E+17,Deleted
1.30E+18,Deleted
1.01E+18,Deleted
9.37E+17,Deleted
1.18E+18,Deleted
1.26E+18,Deleted
1.24E+18,Deleted
1.26E+18,Deleted
8.20E+17,Deleted
8.26E+17,Deleted
1.13E+18,Deleted
9.16E+17,Deleted
1.24E+18,Deleted
1.02E+18,Deleted
1.31E+18,Deleted
1.26E+18,Deleted
1.32E+18,Deleted
1.10E+18,Deleted
1.13E+18,Deleted
1.03E+18,Deleted
1.21E+18,Deleted
8.32E+17,Deleted
9.34E+17,Deleted
1.03E+18,Deleted
1.17E+18,Deleted
860566802,Active
19845473,Active
505092509,Active
611481343,Active
4731219140,Active
864051882,Active
4303301236,Active
1938992054,Active
391743000,Active
1435462658,Active
1080479720,Active
278717550,Active
87590065,Active
206957682,Active
14212149,Active
2910601859,Active
17424987,Active
201684742,Active
2314236661,Active
1018769078,Active
902738071,Active
37404996,Active
339611069,Active
15741454,Active
111635899,Active
22713716,Active
19155088,Active
3919064181,Active
212413458,Active
37636207,Active
350072840,Active
535662805,Active
579075141,Active
38260036,Active
109431407,Active
463754623,Active
314024921,Active
825270691,Active
2569913380,Active
1620788148,Active
22744492,Active
3025622705,Active
74841347,Active
3025622705,Active
79595386,Active
247779811,Active
62270598,Active
4848707404,Active
488842734,Active
484372358,Active
2197383711,Active
1716366972,Active
383821085,Active
2461773055,Active
3332778683,Active
1469663742,Active
117499830,Active
2655218327,Active
1.10E+18,Deleted
1.17E+18,Deleted
9.29E+17,Deleted
7.95E+17,Deleted
1.09E+18,Deleted
7.53E+17,Deleted
7.16E+17,Deleted
1.25E+18,Deleted
1.24E+18,Deleted
1.20E+18,Deleted
1.03E+18,Deleted
7.37E+17,Deleted
1.32E+18,Deleted
1.26E+18,Deleted
1.29E+18,Deleted
1.25E+18,Deleted
1.20E+18,Deleted
1.12E+18,Deleted
7.84E+17,Deleted
7.41E+17,Deleted
1.04E+18,Deleted
1.29E+18,Deleted
1.26E+18,Deleted
1.26E+18,Deleted
1.22E+18,Deleted
7.12E+17,Deleted
1.10E+18,Deleted
